state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Ohio,2020,Senate,1097400,1754433,0,2851833,1.0,15.0,0.0,16,33,16,0,0
Ohio,2022,House,1540800,2270293,46320,3857413,32.0,67.0,0.0,99,99,99,30,0
Ohio,2022,Senate,812696,1105112,0,1917808,6.0,11.0,0.0,17,33,17,5,0
Oklahoma,2016,House,391195,628950,24414,1044559,26.0,75.0,0.0,101,101,101,31,28
Oklahoma,2016,Senate,189353,382653,29042,601048,1.0,24.0,0.0,25,48,25,8,6
Oklahoma,2018,House,353969,519125,3119,876213,25.0,76.0,0.0,101,101,101,28,28
Oklahoma,2018,Senate,181616,271433,7783,460832,7.0,17.0,0.0,24,48,24,6,5
Oklahoma,2020,House,220180,309808,5043,535031,19.0,82.0,0.0,101,101,101,65,64
Oklahoma,2020,Senate,141809,292065,7819,441693,2.0,23.0,0.0,25,48,25,13,12
Oklahoma,2022,House,148904,196652,5477,351033,20.0,81.0,0.0,101,101,101,72,70
Oklahoma,2022,Senate,64821,100700,0,165521,6.0,18.0,0.0,24,48,24,17,17
Oregon,2016,House,885226,758732,102939,1746897,35.0,25.0,0.0,60,60,60,20,0
Oregon,2016,Senate,472871,411466,30677,915014,7.0,9.0,0.0,16,30,16,7,0
Oregon,2018,House,960817,669919,43930,1674666,38.0,22.0,0.0,60,60,60,20,0
Oregon,2018,Senate,564247,367063,10637,941947,11.0,6.0,0.0,17,30,17,4,0
Oregon,2020,House,1209550,958075,14288,2181913,37.0,23.0,0.0,60,60,60,7,0
Oregon,2020,Senate,628347,516030,0,1144377,7.0,9.0,0.0,16,30,16,4,0
Oregon,2022,House,965134,878922,7063,1851119,35.0,25.0,0.0,60,60,60,5,0
Oregon,2022,Senate,541552,410487,14894,966933,12.0,4.0,0.0,16,30,16,1,0
Pennsylvania,2016,House,2566263,2982901,39969,5589133,82.0,121.0,0.0,203,203,203,98,0
Pennsylvania,2016,Senate,1272575,1467674,9331,2749580,9.0,16.0,0.0,25,50,25,13,0
Pennsylvania,2018,House,2519192,2137802,21987,4678981,93.0,110.0,0.0,203,203,203,78,0
Pennsylvania,2018,Senate,1297494,1096954,14467,2408915,12.0,13.0,0.0,25,50,25,6,0
Pennsylvania,2020,House,3039589,3394425,43125,6477139,90.0,113.0,0.0,203,203,203,74,0
Pennsylvania,2020,Senate,1580888,1636550,0,3217438,10.0,15.0,0.0,25,50,25,6,0
Pennsylvania,2022,House,2259383,2639395,29859,4928637,102.0,101.0,0.0,203,203,203,83,0
Pennsylvania,2022,Senate,1267472,1363623,0,2631095,12.0,13.0,0.0,25,50,25,4,0
Rhode Island,2016,House,260025,81907,48718,390650,64.0,10.0,1.0,75,75,75,52,0
Rhode Island,2016,Senate,273721,86971,28776,389468,33.0,5.0,0.0,38,38,38,27,0
Rhode Island,2018,House,240258,75569,19555,335382,66.0,9.0,0.0,75,75,75,51,0
Rhode Island,2018,Senate,242177,93049,8898,344124,33.0,5.0,0.0,38,38,38,19,0
Rhode Island,2020,House,310285,100155,19688,430128,65.0,10.0,0.0,75,75,75,53,0
Rhode Island,2020,Senate,312457,114023,10866,437346,33.0,5.0,0.0,38,38,38,24,0
Rhode Island,2022,House,212251,99003,16502,327756,65.0,9.0,1.0,75,75,75,38,0
Rhode Island,2022,Senate,208664,115080,10452,334196,33.0,5.0,0.0,38,38,38,12,0
South Carolina,2016,House,614749,1103031,10074,1727854,44.0,80.0,0.0,124,124,124,92,0
South Carolina,2016,Senate,498131,1158390,15722,1672243,18.0,28.0,0.0,46,46,46,39,0
South Carolina,2018,House,577664,869238,21246,1468148,44.0,80.0,0.0,124,124,124,79,0
South Carolina,2020,House,779644,1403180,25989,2208813,43.0,81.0,0.0,124,124,124,73,0
South Carolina,2020,Senate,924535,1399659,7928,2332122,16.0,30.0,0.0,46,46,46,16,0
South Carolina,2022,House,436870,1027276,5375,1469521,36.0,88.0,0.0,124,124,124,74,0
South Dakota,2016,House,182349,370536,5736,558621,10.0,60.0,0.0,70,70,37,11,0
South Dakota,2016,Senate,108584,205879,7058,321521,6.0,29.0,0.0,35,35,35,15,0
South Dakota,2018,House,205813,335602,9551,550966,11.0,59.0,0.0,70,70,37,4,0
South Dakota,2018,Senate,114067,192489,8130,314686,5.0,30.0,0.0,35,35,35,5,0
South Dakota,2020,House,166482,430868,3174,600524,8.0,62.0,0.0,70,70,37,13,0
South Dakota,2020,Senate,78110,271017,22549,371676,3.0,32.0,0.0,35,35,35,18,0
South Dakota,2022,House,114138,364638,3237,482013,7.0,63.0,0.0,70,70,37,14,0
South Dakota,2022,Senate,40958,229609,10756,281323,4.0,31.0,0.0,35,35,35,23,0
Tennessee,2016,House,695269,1459065,60225,2214559,25.0,74.0,0.0,99,99,99,48,0
Tennessee,2016,Senate,172753,802362,17460,992575,1.0,15.0,0.0,16,33,16,11,0
